event_id	year	month	day	level	event
299	1943	августа	5		освобождение Орла и Белгорода, первый салют в Москве
300	1943	Август-сентябрь			партизанская операция «Рельсовая война»
301	1943	ноябрь	6		освобождение Киева
302	1943	Ноябрь-декабрь			Тегеранская конференция
303	1944	январь	27		полное освобождение Ленинграда от вражеской блокады
304	1944	марта	26		выход советских войск на румынскую границу
305	1944-1945				Начало освобождения Красной Армией стран Европы 
306	1944	июня	6		высадка союзников во Франции, открытие второго фронта
307	1944	Июнь-август			Белорусская наступательная операция советских войск
308	1943-1944				депортация «репрессированных народов» СССР
309	1945	февраль	4-11		Ялтинская конференция
310	1945	Апрель-май			битва за Берлин
311	1945	Апрель-июнь			Конференция Объединенных наций в Сан-Франциско. Принятие Устава ООН
312	1945	мая	9		безоговорочная капитуляция Германии, окончание Великой Отечественной войны
313	1945	Июль-август			Потсдамская конференция
314	1945	Август-сентябрь			советско-японская война
315	1945	сентября	2		капитуляция Японии и окончание Второй мировой войны
316	1946	март			Фултонская речь У. Черчилля
317	1946-1991				период «холодной войны»
318	1947				План Маршалла
319	1946				постановление ЦК ВКП (б) «О журналах «Звезда» и «Ленинград»».
320	1947				отмена карточек на продукты и денежная реформа
321	1947-1956				деятельность Коминформбюро
322	1948				дело Еврейского антифашистского комитета
323	1949				создание Совета экономической взаимопомощи (СЭВ)
324	1949				организация Североатлантического договора (НАТО)
325	1948-1949				1-й Берлинский кризис
326	1949				первое успешное испытание советской ядерной бомбы
327	1949-1950				Ленинградское дело
328	1950-1953				война в Корее
329	1952				XIX съезд ВКП (б). Переименование ВКП (б) в КПСС
330	1953	марта	5-6		смерть И.В. Сталина
331	1953-1964				Н.С.Хрущев – первый секретарь ЦК КПСС.
332	1954				 начало освоения целинных земель
333	1955				создание Организации Варшавского договора (ОВД)
334	1956				XX съезд КПСС, разоблачение культа личности Сталина
335	1956				Суэцкий кризис
336	1956				политический кризис в Венгрии
337	1957				Всемирный фестиваль молодежи и студентов в Москве
338	1957				запуск СССР первого в мире искусственного спутника Земли
